127.0.0.1 - - [31/May/2024:17:19:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8363
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/js/jquery-3.7.1.js HTTP/1.1" 200 285314
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/css/lobby.css HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/css/trip.css HTTP/1.1" 200 9311
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/%ED%8C%9D%EC%97%85%EC%B0%BD.jpg HTTP/1.1" 200 279816
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/%EB%B4%84.jpg HTTP/1.1" 200 57498
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/%EC%97%AC%EB%A6%84.jpg HTTP/1.1" 200 62354
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/%EA%B0%80%EC%9D%84.jpg HTTP/1.1" 200 108907
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/logo.jpg HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/%EA%B2%A8%EC%9A%B8.jpg HTTP/1.1" 200 135736
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /trip/image/glasses.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [31/May/2024:17:19:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/May/2024:17:20:58 +0900] "GET /trip/image/%EB%B4%841.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2024:17:21:00 +0900] "GET /trip/user/login.jsp HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [31/May/2024:17:21:05 +0900] "POST /trip/user/loginok.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [31/May/2024:17:21:05 +0900] "GET /trip/firstmain/lobby.jsp HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [31/May/2024:17:21:17 +0900] "GET /trip/master/masterGonggiwrite.jsp HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [31/May/2024:17:21:17 +0900] "GET /trip/css/masterGonggiwrite.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2024:17:21:18 +0900] "GET /trip/master/masterADindex.jsp HTTP/1.1" 500 2420
